arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
cleanlab/datalab/datalab.py,funcao,list_possible_issue_types,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/datalab/datalab.py,funcao,list_default_issue_types,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/datalab/datalab.py,funcao,save,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,load,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,_load_data,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
cleanlab/datalab/internal/data.py,funcao,__len__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/datalab/internal/data.py,funcao,__eq__,1,2,2,4,3,6,2.0,9.5098,1.0,9.5098,0.5283,0.0032
cleanlab/datalab/internal/data.py,funcao,__hash__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,class_names,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,has_labels,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,_validate_data,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
cleanlab/datalab/internal/data.py,funcao,_load_dataset_from_dict,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,_load_dataset_from_list,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,_load_dataset_from_string,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
cleanlab/datalab/internal/data.py,funcao,__getitem__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/internal/data.py,funcao,__bool__,0,0,0,0,0,0,0,0,0,0,0,0
